PCTIMESTRING,PERIOD,SCORE,SCOREMARGIN
11:40,1,2 - 0,-2
11:00,1,2 - 2,TIE
10:14,1,5 - 2,-3
10:01,1,5 - 5,TIE
9:40,1,7 - 5,-2
9:00,1,10 - 5,-5
8:48,1,10 - 7,-3
8:13,1,10 - 9,-1
6:36,1,10 - 10,TIE
6:36,1,10 - 11,1
6:10,1,10 - 14,4
5:02,1,11 - 14,3
5:02,1,12 - 14,2
4:50,1,12 - 16,4
4:26,1,12 - 18,6
4:12,1,14 - 18,4
3:48,1,14 - 21,7
3:36,1,17 - 21,4
2:38,1,17 - 23,6
2:26,1,19 - 23,4
0:59,1,19 - 25,6
0:45,1,21 - 25,4
0:15,1,23 - 25,2
0:03,1,23 - 27,4
0:00,1,23 - 27,4
12:00,2,23 - 27,4
11:10,2,23 - 29,6
10:57,2,26 - 29,3
10:26,2,26 - 32,6
9:58,2,28 - 32,4
9:39,2,28 - 34,6
9:02,2,30 - 34,4
8:41,2,30 - 36,6
8:05,2,30 - 38,8
8:05,2,30 - 39,9
7:09,2,32 - 39,7
6:41,2,32 - 41,9
6:29,2,32 - 44,12
6:29,2,32 - 45,13
6:08,2,34 - 45,11
5:50,2,34 - 46,12
5:12,2,36 - 46,10
4:46,2,38 - 46,8
4:46,2,39 - 46,7
4:14,2,39 - 47,8
4:14,2,39 - 48,9
4:03,2,42 - 48,6
3:45,2,42 - 51,9
3:17,2,42 - 53,11
2:43,2,42 - 55,13
2:23,2,42 - 57,15
0:43,2,44 - 57,13
0:40,2,44 - 59,15
0:27,2,45 - 59,14
0:27,2,46 - 59,13
0:07,2,47 - 59,12
0:07,2,48 - 59,11
0:00,2,48 - 59,11
12:00,3,48 - 59,11
11:43,3,50 - 59,9
11:09,3,50 - 61,11
10:59,3,52 - 61,9
10:36,3,52 - 64,12
9:58,3,55 - 64,9
9:10,3,55 - 65,10
8:57,3,57 - 65,8
8:03,3,57 - 67,10
7:52,3,60 - 67,7
7:24,3,62 - 67,5
7:00,3,62 - 69,7
6:44,3,64 - 69,5
4:36,3,64 - 72,8
3:50,3,66 - 72,6
3:28,3,66 - 74,8
3:09,3,66 - 77,11
2:58,3,67 - 77,10
2:58,3,68 - 77,9
2:18,3,68 - 79,11
1:55,3,71 - 79,8
1:37,3,71 - 82,11
1:17,3,73 - 82,9
1:01,3,73 - 84,11
0:51,3,76 - 84,8
0:15,3,76 - 87,11
0:00,3,78 - 87,9
0:00,3,78 - 87,9
0:00,3,78 - 87,9
12:00,4,78 - 87,9
11:36,4,78 - 89,11
11:16,4,80 - 89,9
10:24,4,80 - 91,11
9:42,4,80 - 94,14
9:29,4,81 - 94,13
9:29,4,82 - 94,12
9:15,4,82 - 97,15
8:02,4,82 - 100,18
7:47,4,85 - 100,15
7:46,4,85 - 100,15
7:10,4,85 - 102,17
6:22,4,85 - 105,20
5:49,4,85 - 108,23
4:52,4,85 - 111,26
3:55,4,85 - 113,28
3:47,4,88 - 113,25
2:51,4,88 - 114,26
2:23,4,88 - 116,28
2:13,4,91 - 116,25
1:53,4,94 - 116,22
1:41,4,94 - 118,24
1:25,4,94 - 121,27
1:05,4,96 - 121,25
0:31,4,98 - 121,23
0:10,4,99 - 121,22
0:10,4,100 - 121,21
0:00,4,103 - 121,18
0:00,4,103 - 121,18
0:00,4,103 - 121,18
